id,es,en,fr
btn_iniciar,Nueva partida,New  Game,Nouveau jeu
btn_continuar,Continuar partida,Continue ,Continuer le jeu
btn_salir,Salir del Juego,Exit Game,Jeu de sortie
btn_config,Configuracion,Settings,Param�tres
btn_pant_principal,Pantalla principal,Main menu,Menu principal
btn_idioma,Cambiar Idioma,Change Language,Changer de langue
btn_eliminar_part,Eliminar guardado,Erase save,Effacer la sauvegarde
btn_guardar,Guardar,Save,Saveguarder
btn_AMenuPrin,Ir a menu,Go to menu,Aller au menu
btn_creditos,Creditos,Credits,Cr�dits
btn_start,Empezar,Start,Commencer
btn_controlesAct,Activos,Actives,Activees
btn_controlesDes,Desactivados,Deactivated,Non activees
btn_A_Pant_Intro,Saltar,Skip,Sautiller
lbl_titulo,ExploraTEC, ExploraTEC, ExploraTEC
lbl_idioma,Espanol,English,Fran�ais
lbl_Salon,Salon,Classroom,Classe
lbl_P1,Piso 1,Floor 1,�tage 1
lbl_Pb,Planta baja,Ground floor,Rez-de-chauss�e
lbl_dia1,Dia uno,Day one,Jour un
lbl_dia2,Dia dos,Day two,Jour deux
lbl_dia3,Dia tres,Day three,Jour trois
lbl_dia4,Dia cuatro,Day four,Jour quatre
lbl_master,Audio: maestro,Audio: Master,Audio: Master
lbl_musica,Audio: Musica,Audio: Music,Audio: Musique
lbl_sfx,Audio: SFX,Audio: SFX,Audio: SFX
lbl_voz,Audio: Voz,Audio: voice,Audio: voix
lbl_gameover,Fin de la partida,Game Over,Jeu Termin�
lbl_controles,Controles tactiles,Tactile controls,Controles tactiles
lblMisiones,Misiones,Mission,Mission
lblMisionPaginas,Paginas del diario (Amb.),Pages of diary (Amb),Pages du journal (Amb)
lblMisionPliego,Recoger documento (Edif. Cristal),Retrieve document (Building Crystal),R�cup�rer le document (B�timent en verre)
lblMisionPliego2,Entregar reconocimiento (Centro de computo),Deliver award (Computer center),Livrer le document (Centre informatique)
lblMisionLibro,Entregar libro (Meca),Deliver book (Meca),Remettez le livre (Meca)
lblPensRecon,Algo se me habia encargado... debo explorar.,I had been assigned something... I must explore.,On m'avait confi� quelque chose... je dois explorer.
lblRecojeReco,Es cierto! Me encargaron darselo a alguien en el Centro de computo,Oh right! I must give this to someone in the computer center,C'est vrai ! On m'a demand� de le donner � quelqu'un au centre informatique.
lblPensando,Pensando,Thinking,Pensant
lblEntregaRecon,Gracias por entregarme mi reconocimiento!,Thank you for giving me my award!,Merci de m�avoir remis ma r�compense !
